id,fan_value,neuroticism,agreeableness,extraversion,conscientiousness,openness,personality,values_h,needs,interests,ach,ben,con,dir,hed,pow,sec,sti,tra,uni,cha,clo,cur,est,exc,exp,har,ide,lib,lov,pra,str
43,2,30,90,50,1,65,agreeableness,self-direction,excitement,travels|home and housing|social networks,10,3,5,1,5,5,5,1,9,3,8,12,3,10,1,1,4,8,11,4,6,6
44,1,80,50,1,5,4,neuroticism,universalism,ideals,"politics|health, hygiene and welfare|military|organizations|alcoholic drinks|financial, banks and economy|ngos and causes|philosophy|drinks without alcohol|internet and telecommunications",8,2,3,7,5,9,5,9,3,1,6,12,7,11,2,4,7,1,9,3,9,4
45,1,1,90,10,85,1,agreeableness,benevolence,harmony,"health, hygiene and welfare|electronics and computers|tv and radio|art and culture|leisure and entertainment|feeding|industry and energy|home and housing|music|media",7,1,1,7,6,7,4,7,1,4,11,12,10,8,6,6,1,2,5,9,2,4
46,1,55,30,25,75,10,conscientiousness,self-indulgence,challenge,politics|feeding|motor|social networks|tv and radio|electronics and computers|internet and telecommunications|industry and energy|philosophy|environment,8,3,3,6,1,10,1,8,6,3,1,12,9,7,4,1,6,9,9,8,4,1
47,1,1,20,98,25,2,extraversion,benevolence,self-expresion,,6,1,5,2,4,8,10,6,8,2,4,12,3,10,2,1,8,8,5,10,7,5
48,0,5,50,65,65,4,extraversion,benevolence,stability,"leisure and entertainment|travels|philosophy|shopping|feeding|health, hygiene and welfare|internet and telecommunications|art and culture|sports|insurance",9,1,5,3,8,10,5,7,3,1,5,12,2,1,6,6,3,6,6,6,6,3
49,1,85,70,1,15,2,neuroticism,self-direction,challenge,"politics|health, hygiene and welfare|financial, banks and economy|military|education|feeding|art and culture|shopping|social groups|animals and pets",8,7,4,1,4,10,1,8,4,1,1,12,4,11,4,1,8,7,1,8,6,8
50,0,1,1,99,2,99,openness,conformity,challenge,"feeding|music|sports|politics|medium viral|beauty|travels|motor|health, hygiene and welfare|weather",9,4,1,4,8,1,4,10,1,4,1,12,10,6,4,3,4,10,2,8,6,8
51,1,95,25,99,99,99,openness,self-direction,challenge,"health, hygiene and welfare|fashion|social networks|beauty|feeding|medium viral|environment|philosophy|animals and pets|industry and energy",9,4,5,1,3,9,6,7,7,1,1,12,5,7,7,2,7,5,11,10,4,3
52,0,60,90,1,97,2,conscientiousness,conformity,harmony,,7,4,1,8,1,9,4,9,6,1,2,12,10,6,4,10,1,3,6,9,5,6
53,1,75,4,15,4,90,openness,benevolence,self-expresion,feeding|video game|art and culture|drinks without alcohol|tv and radio|social networks|shopping|animals and pets|internet and telecommunications|philosophy,3,1,7,10,1,8,3,3,8,3,11,12,8,4,5,1,1,7,1,8,6,10
54,0,30,96,15,90,2,agreeableness,self-indulgence,challenge,"insurance|motor|politics|health, hygiene and welfare|tv and radio|fashion|organizations|picture|art and culture|electronics and computers",4,5,5,2,1,8,8,5,8,2,1,12,6,8,5,2,8,8,3,8,3,6
55,0,20,97,1,90,98,openness,benevolence,challenge,tv and radio|art and culture|internet and telecommunications|music|philosophy|media|leisure and entertainment|industry and energy|politics|religion,6,1,1,1,6,9,1,9,8,1,1,12,9,5,9,9,3,6,8,6,3,1
56,0,90,98,80,4,99,openness,benevolence,harmony,"childish|social groups|ngos and causes|feeding|environment|health, hygiene and welfare|politics|comic|organizations|religion",8,1,6,1,1,8,8,7,4,5,10,12,10,7,8,4,1,4,3,9,4,2
57,1,2,1,1,99,99,openness,benevolence,harmony,"military|home and housing|motor|sports|health, hygiene and welfare|electronics and computers|fashion|politics|leisure and entertainment|picture",8,1,4,6,1,8,5,8,7,1,8,12,8,7,4,4,1,10,6,2,11,2
58,0,97,99,99,99,75,extraversion,self-direction,challenge,"financial, banks and economy|science|environment|social networks|professional services|shopping|feeding|philosophy|industry and energy|health, hygiene and welfare",7,10,7,1,4,1,7,6,1,5,1,12,3,8,3,1,8,7,8,8,6,3
59,1,1,45,45,1,5,extraversion,universalism,love,"fashion|environment|industry and energy|art and culture|electronics and computers|shopping|health, hygiene and welfare|leisure and entertainment|tv and radio|politics",9,2,7,2,4,9,4,7,6,1,9,12,9,11,3,2,7,6,5,1,7,3
60,1,25,15,1,70,85,openness,benevolence,curiosity,"health, hygiene and welfare|politics|insurance|environment|home and housing|financial, banks and economy|ngos and causes|internet and telecommunications|electronics and computers|feeding",9,1,4,5,6,9,7,7,3,1,10,12,1,11,4,1,3,5,8,6,6,8
61,1,85,1,1,25,5,neuroticism,universalism,structure,"politics|sports|feeding|health, hygiene and welfare|philosophy|financial, banks and economy|internet and telecommunications|electronics and computers|social networks|ngos and causes",8,5,6,6,3,9,3,9,2,1,5,12,10,5,5,3,2,8,9,10,4,1
62,1,1,97,98,99,99,openness,self-indulgence,self-expresion,"social networks|feeding|health, hygiene and welfare|shopping|travels|motor|politics|philosophy|fashion|leisure and entertainment",7,9,4,5,1,5,2,8,10,2,2,12,5,10,7,1,7,7,2,11,6,2
63,1,99,97,98,25,98,neuroticism,conformity,ideals,,8,4,1,6,7,8,8,5,1,1,2,12,10,5,8,6,2,1,9,6,10,2
64,1,97,75,5,15,2,neuroticism,self-direction,liberty,motor|travels|organizations|weather|art and culture|leisure and entertainment|sports|tv and radio|philosophy|science,3,6,10,1,1,8,7,3,8,5,4,12,8,11,3,4,4,4,1,1,10,9
65,1,2,35,1,1,98,openness,self-indulgence,challenge,,8,10,6,7,1,4,4,3,8,1,1,12,9,4,2,6,8,5,9,9,2,7
66,2,5,5,85,5,2,extraversion,self-indulgence,stability,"social networks|motor|politics|insurance|leisure and entertainment|health, hygiene and welfare|electronics and computers|industry and energy|travels|sports",8,2,5,2,1,10,5,5,9,4,11,12,9,1,6,3,8,7,5,1,9,4
67,0,1,96,55,95,60,agreeableness,security,structure,"politics|health, hygiene and welfare|philosophy|insurance|tv and radio|social groups|ngos and causes|education|science|electronics and computers",8,2,2,2,7,8,1,8,6,2,10,12,3,10,9,2,5,3,7,7,6,1
68,1,10,5,96,80,20,extraversion,self-direction,self-expresion,,7,6,2,1,2,9,7,2,9,5,4,12,2,11,8,1,7,10,4,9,2,4
69,1,35,4,60,65,5,conscientiousness,security,ideals,,3,3,7,6,2,10,1,8,5,8,8,12,2,8,6,2,4,1,4,7,11,10
70,0,20,1,1,55,4,conscientiousness,self-indulgence,curiosity,art and culture|tv and radio|leisure and entertainment|theater and musical films|electronics and computers|video game|medium viral|industry and energy|artworks|social networks,6,7,3,8,1,1,10,3,5,8,8,12,1,8,5,7,1,1,1,6,8,8
71,0,75,85,30,60,90,openness,benevolence,curiosity,"politics|home and housing|health, hygiene and welfare|insurance|motor|drinks without alcohol|tv and radio|media|internet and telecommunications|woman",9,1,8,7,3,9,3,6,3,1,7,12,1,10,7,6,9,2,2,2,2,10
72,1,95,20,1,75,60,neuroticism,benevolence,curiosity,"motor|financial, banks and economy|shopping|drinks without alcohol|feeding|fashion|childish|electronics and computers|health, hygiene and welfare|environment",9,1,3,2,3,10,7,5,5,7,10,12,1,2,6,3,8,8,3,6,3,11
73,1,20,25,1,30,5,conscientiousness,universalism,harmony,"health, hygiene and welfare|electronics and computers|financial, banks and economy|shopping|education|art and culture|philosophy|feeding|childish|internet and telecommunications",9,4,2,6,7,9,5,8,2,1,9,12,5,9,6,6,1,2,8,3,9,4
74,0,97,10,70,75,1,neuroticism,benevolence,excitement,"video game|leisure and entertainment|tv and radio|social networks|medium viral|art and culture|media|financial, banks and economy|comic|feeding",2,1,6,4,7,2,10,8,8,5,10,12,5,10,1,7,1,8,4,1,5,9
75,0,4,4,99,99,99,openness,self-direction,love,"travels|leisure and entertainment|feeding|health, hygiene and welfare|drinks without alcohol|politics|music|alcoholic drinks|art and culture|philosophy",7,2,8,1,2,10,8,5,5,4,10,12,8,7,2,4,2,6,5,1,10,8
76,1,99,98,99,35,85,extraversion,benevolence,harmony,"artworks|picture|motor|politics|environment|weather|feeding|drinks without alcohol|health, hygiene and welfare|insurance",7,1,1,6,7,7,4,7,4,1,9,12,9,4,8,7,1,1,5,9,5,1
77,0,25,15,2,98,2,conscientiousness,power,challenge,"home and housing|philosophy|art and culture|comic|environment|health, hygiene and welfare|ngos and causes|feeding|industry and energy|religion",10,6,4,9,5,1,1,6,8,1,1,12,1,9,6,4,8,9,6,9,5,3
78,0,2,97,90,99,2,conscientiousness,benevolence,stability,,9,1,1,6,1,9,1,8,6,1,4,12,9,1,7,5,9,6,7,9,1,1
79,1,1,97,96,99,4,conscientiousness,universalism,challenge,"financial, banks and economy|electronics and computers|health, hygiene and welfare|feeding|philosophy|industry and energy|environment|professional services|medium viral|leisure and entertainment",6,5,8,2,2,10,2,6,8,1,1,12,7,5,1,7,4,11,1,7,5,7
80,1,85,1,97,2,10,extraversion,benevolence,ideals,"insurance|motor|social networks|picture|financial, banks and economy|artworks|health, hygiene and welfare|animals and pets|philosophy|politics",8,1,1,7,6,8,1,8,1,5,6,12,10,11,3,4,4,1,6,9,6,1
81,1,90,20,70,1,96,openness,benevolence,excitement,social networks|motor|video game|internet and telecommunications|electronics and computers|education|military|travels|leisure and entertainment|feeding,9,1,4,4,1,9,4,3,4,8,9,12,2,10,1,2,2,5,8,6,10,7
82,0,1,1,99,99,98,extraversion,universalism,self-expresion,home and housing|feeding|insurance|animals and pets|drinks without alcohol|alcoholic drinks|professional services|tv and radio|politics|medium viral,10,4,2,7,2,8,8,5,6,1,4,12,3,10,5,1,2,5,5,8,9,10
83,0,1,96,99,55,20,extraversion,universalism,harmony,,4,4,6,3,6,8,2,8,8,1,4,12,8,4,8,8,1,4,7,11,2,2
84,1,85,98,99,2,3,extraversion,self-indulgence,challenge,"health, hygiene and welfare|motor|electronics and computers|feeding|environment|organizations|politics|fashion|insurance|sports",8,4,4,6,1,10,3,7,9,1,1,12,6,10,8,2,7,8,5,10,2,2
85,1,97,98,96,1,1,agreeableness,benevolence,challenge,"sports|financial, banks and economy|feeding|industry and energy|politics|home and housing|philosophy|professional services|education|art and culture",9,1,6,2,2,9,2,6,6,5,1,12,10,5,8,3,7,10,8,5,4,1
86,0,35,96,96,3,2,extraversion,conformity,self-expresion,"health, hygiene and welfare|tv and radio|internet and telecommunications|electronics and computers|leisure and entertainment|motor|insurance|social networks|alcoholic drinks|drinks without alcohol",5,6,1,6,4,9,3,9,8,1,3,12,3,10,5,1,5,5,8,11,8,2
87,3,85,70,85,25,97,openness,universalism,curiosity,"politics|health, hygiene and welfare|art and culture|feeding|philosophy|social networks|picture|leisure and entertainment|tv and radio|home and housing",10,2,5,5,8,8,2,7,4,1,11,12,1,8,6,3,4,9,1,9,5,6
88,1,35,15,1,25,75,openness,benevolence,curiosity,"health, hygiene and welfare|politics|leisure and entertainment|philosophy|financial, banks and economy|art and culture|insurance|feeding|electronics and computers|tv and radio",8,1,6,6,3,10,5,8,3,1,4,12,1,11,4,2,8,4,8,10,4,3
89,1,15,90,80,98,10,conscientiousness,self-indulgence,self-expresion,"financial, banks and economy|electronics and computers|philosophy|social networks|politics|internet and telecommunications|art and culture|shopping|environment|industry and energy",5,6,8,2,1,9,2,6,9,4,7,12,2,9,10,1,3,11,3,5,6,7
90,1,45,10,55,85,4,conscientiousness,benevolence,self-expresion,"feeding|media|electronics and computers|financial, banks and economy|politics|woman|medium viral|health, hygiene and welfare|art and culture|professional services",7,1,10,1,3,7,5,5,9,3,10,12,8,3,7,1,6,8,5,10,1,3
91,1,1,85,95,85,75,extraversion,benevolence,self-expresion,politics|industry and energy|art and culture|philosophy|professional services|leisure and entertainment|comic|environment|internet and telecommunications|military,8,1,8,4,4,10,6,7,1,1,6,12,3,11,6,1,9,10,4,1,5,8
92,1,1,5,10,96,3,conscientiousness,universalism,liberty,"sports|ngos and causes|feeding|health, hygiene and welfare|internet and telecommunications|industry and energy|tv and radio|childish|politics|alcoholic drinks",5,3,6,3,2,9,9,6,6,1,5,12,2,11,4,6,9,6,1,2,6,10
93,1,65,4,1,1,30,neuroticism,benevolence,curiosity,,8,1,5,3,1,9,9,5,5,4,9,12,1,11,2,5,4,7,2,9,5,7
94,0,30,35,98,1,3,extraversion,benevolence,curiosity,,7,1,6,2,8,10,5,8,4,2,6,12,1,7,2,4,9,7,2,5,11,10
95,0,97,1,1,98,15,conscientiousness,benevolence,challenge,,7,1,9,6,1,8,5,1,9,1,1,12,8,10,5,1,3,6,3,7,10,8
96,0,55,15,1,98,5,conscientiousness,self-direction,challenge,,7,5,7,1,1,10,5,3,7,3,1,12,10,11,3,9,8,2,5,7,3,5
97,0,1,85,55,99,1,conscientiousness,benevolence,excitement,electronics and computers|education|social networks|politics|philosophy|motor|feeding|science|home and housing|military,8,1,2,2,4,9,9,6,5,6,8,12,3,6,1,4,9,5,1,9,9,7
98,0,1,1,98,30,99,openness,achievement,challenge,"insurance|motor|social networks|feeding|philosophy|health, hygiene and welfare|home and housing|sports|tv and radio|medium viral",1,8,8,1,1,5,7,6,8,4,1,12,8,9,4,1,6,9,1,6,5,9
99,1,5,1,1,1,2,neuroticism,benevolence,harmony,"electronics and computers|motor|environment|health, hygiene and welfare|insurance|financial, banks and economy|video game|internet and telecommunications|organizations|industry and energy",8,1,5,6,1,8,7,8,3,4,9,12,2,11,2,5,1,8,2,7,5,9
100,1,20,50,1,95,2,conscientiousness,benevolence,ideals,"ngos and causes|leisure and entertainment|politics|tv and radio|industry and energy|health, hygiene and welfare|art and culture|electronics and computers|media|internet and telecommunications",8,1,6,5,7,10,4,8,3,1,7,12,4,10,6,4,3,1,10,1,7,7
101,1,45,1,85,65,85,openness,self-direction,liberty,"health, hygiene and welfare|politics|medium viral|feeding|art and culture|social networks|media|financial, banks and economy|industry and energy|woman",3,5,10,1,1,8,3,5,8,7,11,12,3,6,3,5,9,2,1,6,6,10
102,0,65,4,70,90,90,openness,self-indulgence,self-expresion,internet and telecommunications|tv and radio|feeding|drinks without alcohol|social networks|alcoholic drinks|medium viral|home and housing|sports|politics,5,5,10,4,1,7,2,7,7,2,11,12,10,8,3,1,8,3,3,7,6,2
103,0,4,75,60,5,5,agreeableness,stimulation,liberty,,3,3,7,6,2,3,9,1,9,8,7,12,8,10,5,2,6,2,1,2,9,10
104,1,90,75,75,4,75,neuroticism,self-indulgence,practicality,,8,2,5,2,1,10,8,5,5,2,9,12,9,11,2,3,6,4,6,8,1,4
105,2,1,1,97,60,2,extraversion,benevolence,self-expresion,"industry and energy|electronics and computers|health, hygiene and welfare|feeding|art and culture|politics|drinks without alcohol|organizations|religion|alcoholic drinks",9,1,6,3,4,10,6,6,5,1,8,12,3,10,5,1,6,8,6,3,10,1
106,1,90,75,1,98,55,conscientiousness,achievement,self-expresion,"fashion|art and culture|medium viral|politics|electronics and computers|health, hygiene and welfare|picture|motor|tv and radio|theater and musical films",1,4,10,3,4,7,1,7,7,6,9,12,11,8,7,1,2,4,5,5,9,2
107,0,85,1,10,70,70,neuroticism,benevolence,curiosity,,7,1,7,4,6,10,3,7,4,2,4,12,1,11,7,5,3,7,7,6,7,1
108,0,1,5,65,1,1,extraversion,achievement,challenge,,1,3,9,3,1,9,7,7,6,3,1,12,8,10,5,1,7,4,3,8,10,6
109,1,70,55,25,97,98,openness,benevolence,love,"internet and telecommunications|electronics and computers|education|ngos and causes|tv and radio|financial, banks and economy|environment|science|health, hygiene and welfare|feeding",7,1,9,1,4,10,7,4,4,3,9,12,5,11,5,2,2,4,5,1,8,9
110,0,90,97,1,1,4,agreeableness,universalism,ideals,,7,2,6,2,10,8,2,8,2,1,8,12,2,11,5,8,7,1,10,2,6,4
111,1,4,3,30,98,25,conscientiousness,universalism,self-expresion,"politics|health, hygiene and welfare|feeding|ngos and causes|financial, banks and economy|animals and pets|insurance|philosophy|home and housing|medium viral",10,2,6,5,7,7,3,7,3,1,7,12,5,10,3,1,9,3,5,2,10,8
112,2,97,1,25,5,2,neuroticism,benevolence,stability,"health, hygiene and welfare|politics|home and housing|industry and energy|insurance|military|professional services|tv and radio|organizations|financial, banks and economy",8,1,10,2,5,8,2,6,6,4,6,12,11,1,4,6,2,6,6,6,4,3
113,1,75,1,10,20,40,neuroticism,benevolence,self-expresion,"health, hygiene and welfare|feeding|politics|animals and pets|leisure and entertainment|tv and radio|sports|philosophy|home and housing|ngos and causes",5,1,7,3,5,10,3,7,7,1,10,12,8,11,3,1,5,5,3,2,5,8
114,1,30,99,95,99,4,conscientiousness,self-indulgence,self-expresion,,2,2,7,5,1,10,9,6,8,2,2,12,9,11,6,1,5,4,3,9,8,7
115,0,95,10,40,60,40,neuroticism,benevolence,challenge,"sports|tv and radio|feeding|environment|picture|artworks|ngos and causes|leisure and entertainment|organizations|health, hygiene and welfare",7,1,9,2,4,10,6,5,8,2,1,12,8,8,1,5,5,11,8,4,1,5
116,1,1,96,1,1,3,agreeableness,benevolence,challenge,"leisure and entertainment|philosophy|health, hygiene and welfare|weather|feeding|industry and energy|home and housing|art and culture|comic|financial, banks and economy",8,1,3,7,3,8,6,8,3,1,1,12,9,7,6,3,5,11,1,9,3,8
117,0,1,70,99,90,1,extraversion,benevolence,challenge,internet and telecommunications|medium viral|feeding|social groups|shopping|art and culture|politics|fashion|media|electronics and computers,3,1,9,1,8,9,5,4,6,6,1,12,1,8,4,4,11,8,7,8,1,6
118,1,80,1,4,85,4,conscientiousness,universalism,excitement,"ngos and causes|politics|health, hygiene and welfare",10,8,4,7,4,9,3,4,2,1,9,12,8,6,1,4,5,9,6,11,3,1
119,0,20,96,98,99,99,openness,benevolence,challenge,"politics|sports|tv and radio|video game|animals and pets|feeding|health, hygiene and welfare|industry and energy|environment|philosophy",8,1,6,6,1,9,5,9,1,1,1,12,11,4,4,8,7,8,8,4,2,3
120,2,65,20,1,5,3,neuroticism,benevolence,curiosity,"politics|art and culture|tv and radio|health, hygiene and welfare|media|philosophy|leisure and entertainment|ngos and causes|medium viral|electronics and computers",8,1,6,4,4,10,6,8,3,1,8,12,1,11,7,4,6,9,2,2,4,10
121,1,1,96,85,75,60,agreeableness,self-indulgence,challenge,"fashion|electronics and computers|insurance|motor|health, hygiene and welfare|environment|philosophy|medium viral|shopping|art and culture",7,6,3,3,1,10,8,5,8,1,1,12,7,10,4,3,10,1,4,6,8,9
